RANK,SYMBOL,ISIN,CLOSE,SCORE,R12_PCT,R6_PCT,VOLATILITY_PCT,VAM,AGREE,ADTV_CR,STALE_SESSIONS,FROZEN_RATE,ELIGIBLE
487,GPIL,INE177H01039,239.39,-0.0,-1.5,-12.1,35.9,-0.0418,0.0,39.38,0,0.0,HAAN
487,HAVELLS,INE176B01034,1193.0,-0.0,-23.6,-15.6,23.5,-1.0043,0.0,122.94,0,0.0,HAAN
487,BATAINDIA,INE176A01028,670.45,-0.0,-38.8,-15.6,31.6,-1.2278,0.0,46.66,0,0.0,HAAN
487,CASTROLIND,INE172A01027,186.08,-0.0,-10.3,-0.8,14.5,-0.7103,0.0,35.45,0,0.0,HAAN
487,BDL,INE171Z01026,1253.7,-0.0,-17.6,-1.5,38.9,-0.4524,0.0,191.21,0,0.0,HAAN
487,ZAGGLE,INE07K301024,184.33,-0.0,-55.3,-20.8,57.5,-0.9617,0.0,46.36,0,0.0,HAAN
487,IRB,INE821I01022,19.18,-0.0,-14.8,-7.7,25.5,-0.5804,0.0,23.45,0,0.0,HAAN
487,EMAMILTD,INE548C01032,368.05,-0.0,-37.1,-22.5,25.4,-1.4606,0.0,30.37,0,0.0,HAAN
487,SIRCA,INE792Z01011,431.25,-0.0,-5.5,-5.9,28.3,-0.1943,0.0,15.44,0,0.0,HAAN
487,ITC,INE154A01025,266.3,-0.0,-33.3,-16.3,20.9,-1.5933,0.0,402.4,0,0.0,HAAN
487,BLS,INE153T01027,235.22,-0.0,-36.2,-15.8,46.6,-0.7768,0.0,53.68,0,0.0,HAAN
487,JKCEMENT,INE823G01014,4979.5,-0.0,-28.3,-13.1,32.1,-0.8816,0.0,35.97,0,0.0,HAAN
487,BSOFT,INE836A01035,294.4,-0.0,-22.4,-23.3,37.8,-0.5926,0.0,53.84,0,0.0,HAAN
487,RALLIS,INE613A01020,209.5,-0.0,-45.0,-23.9,34.5,-1.3043,0.0,21.19,0,0.0,HAAN
487,PIIND,INE603J01030,2393.0,-0.0,-38.6,-23.6,28.0,-1.3786,0.0,74.93,0,0.0,HAAN
487,GODIGIT,INE03JT01014,258.4,-0.0,-30.2,-24.8,24.9,-1.2129,0.0,27.41,0,0.0,HAAN
487,HDFCBANK,INE040A01034,700.8,-0.0,-28.6,-22.0,21.0,-1.3619,0.0,2422.16,0,0.0,HAAN
487,ESCORTS,INE042A01014,3019.4,-0.0,-15.4,-16.1,30.8,-0.5,0.0,34.53,0,0.0,HAAN
487,KPITTECH,INE04I401011,588.0,-0.0,-51.1,-25.9,40.3,-1.268,0.0,208.66,0,0.0,HAAN
487,MARUTI,INE585B01010,12849.0,-0.0,-11.1,-15.5,23.5,-0.4723,0.0,609.29,0,0.0,HAAN
487,CHOLAHLDNG,INE149A01033,1489.0,-0.0,-19.0,-11.6,36.3,-0.5234,0.0,28.69,0,0.0,HAAN
487,RHIM,INE743M01012,370.5,-0.0,-23.5,-15.7,40.2,-0.5846,0.0,71.65,0,0.0,HAAN
487,WHIRLPOOL,INE716A01013,800.2,-0.0,-38.9,-11.4,36.3,-1.0716,0.0,31.0,0,0.0,HAAN
487,COCHINSHIP,INE704P01025,1463.0,-0.0,-13.1,-2.5,37.2,-0.3522,0.0,186.75,0,0.0,HAAN
487,DCXINDIA,INE0KL801015,171.23,-0.0,-35.7,-7.4,46.6,-0.7661,0.0,15.57,0,0.0,HAAN
487,NBCC,INE095N01031,85.0,-0.0,-18.4,-9.6,34.9,-0.5272,0.0,97.21,0,0.0,HAAN
487,YATRA,INE0JR601024,114.15,-0.0,-21.7,-4.6,58.9,-0.3684,0.0,20.15,0,0.0,HAAN
487,JSLL,INE0J5801029,513.65,-0.0,-28.3,-19.3,54.9,-0.5155,0.0,54.21,0,0.0,HAAN
487,LICI,INE0J1Y01017,408.25,-0.0,-8.7,-6.2,25.4,-0.3425,0.0,371.98,0,0.0,HAAN
487,LATENTVIEW,INE0I7C01011,271.0,-0.0,-36.2,-18.8,45.4,-0.7974,0.0,28.05,0,0.0,HAAN
487,IXIGO,INE0HV901016,156.42,-0.0,-45.8,-8.2,56.2,-0.8149,0.0,28.31,0,0.0,HAAN
487,MOBIKWIK,INE0HLU01028,185.32,-0.0,-18.4,-7.5,51.3,-0.3587,0.0,34.13,0,0.0,HAAN
487,JIOFIN,INE758E01017,236.9,-0.0,-25.9,-7.5,27.6,-0.9384,0.0,389.44,0,0.0,HAAN
487,HDBFS,INE756I01012,675.2,-0.0,-15.6,-5.4,25.1,-0.6215,0.0,55.61,0,0.0,HAAN
487,POWERGRID,INE752E01010,266.8,-0.0,-6.1,-12.0,20.4,-0.299,0.0,249.16,0,0.0,HAAN
487,JSWCEMENT,INE718I01012,123.6,-0.0,-19.5,-3.2,29.7,-0.6566,0.0,25.64,0,0.0,HAAN
487,TARIL,INE763I01026,302.0,-0.0,-40.4,-3.2,59.7,-0.6767,0.0,103.25,0,0.0,HAAN
487,ICICIGI,INE765G01017,1537.0,-0.0,-19.9,-21.0,24.3,-0.8189,0.0,179.53,0,0.0,HAAN
487,NTPC,INE733E01010,330.0,-0.0,-2.3,-13.6,19.0,-0.1211,0.0,379.64,0,0.0,HAAN
